primitive,short_description,search_terms,observer,turtles,patches,links,utilities,see_also,library_models,,,,,,,,,,,,,,,,
max-pycor,Reports the largest y-coordinate of the patches in a midel.,"patch, coordinate, y, axis, world, view, north",FALSE,FALSE,FALSE,FALSE,TRUE,"min-pxcor, min-pycor, move-to, setxy","Fruit Wars, Ants, Sunflower Biomorphs, Random Balls",,,,,,,,,,,,,,,,
mean,Reports the average of a provided list of numerical values.,"average, list, array, median, medium, middle",FALSE,FALSE,FALSE,FALSE,TRUE,"count, max, round, ceiling","Mimicry, Flocking, Scatter, CRISPR Ecosystem",,,,,,,,,,,,,,,,
member?,Reports true if a value is within a list or if an agent is in an agentset.,"in, list, part, element",FALSE,FALSE,FALSE,FALSE,TRUE,"count, if, if-else, n-of","Fairy Circles, Small Worlds, Party, Traffic Grid Goal",,,,,,,,,,,,,,,,
min-pxcor,Reports the smallest x-coordinate of the patches in a midel.,"patch, coordinate, x, axis, world, view, east",FALSE,FALSE,FALSE,FALSE,TRUE,"max-pxcor, max-pycor, move-to, setxy","Fire, Tumor, Blood Sugar Regulation, Ant Lines",,,,,,,,,,,,,,,,
min-pycor,Reports the smallest y-coordinate of the patches in a midel.,"patch, coordinate, x, axis, world, view, south",FALSE,FALSE,FALSE,FALSE,TRUE,"max-pxcor, max-pycor, move-to, setxy","Autumn, Fireworks, Galton Box, Rugby",,,,,,,,,,,,,,,,
mod,Performs the modulo operation; reports the remainder from the division of the first number by the second number.,"remainder, divide, math, calculate, arithmetic",FALSE,FALSE,FALSE,FALSE,TRUE,"mean, count, if, any?","Sunflower, Flocking Vee Formations, Voronoi, Fruit Wars",,,,,,,,,,,,,,,,
move-to,Moves a turtle to set its x and y coordinates to be the same as another turtle or patch.,"jump, travel, relocate, shift, transport, hop",FALSE,TRUE,FALSE,FALSE,FALSE,"setxy, set, pxcor, patches","Heatbugs, Shepherds, Membrane Formation, Grand Canyon",,,,,,,,,,,,,,,,
myself,Reports the original turtle that asked another turtle to follow some rules.,"interaction, caller, original, nested, refer, talk",FALSE,TRUE,TRUE,TRUE,FALSE,"nobody, ask, of, let","Sunflower Biomorphs, Mammoths, Autumn, Fairy Circles",,,,,,,,,,,,,,,,
n-of,"Reports ""n"" randomly picked agents from an agentset or items from a list.","subset, random, batch, portion, fragment",FALSE,FALSE,FALSE,FALSE,TRUE,"one-of, count, any?, all?","Virus, Heatbugs, Voronoi, Virus on a Network",,,,,,,,,,,,,,,,
neighbors,Reports an agentset containing the eight neighboring patches.,"surrounding, nearby, around, directions, next, border, adjoin, touch",FALSE,TRUE,TRUE,FALSE,FALSE,"neighbors4, patch-ahead, turtles-here, patches","Fur, DLA, Segregation, Daisyworld",,,,,,,,,,,,,,,,
neighbors4,"Reports an agentset containing the four neighboring patches in cardinal directions (north, west, south, east).","surrounding, nearby, around, directions, next, border, adjoin, touch",FALSE,TRUE,TRUE,FALSE,FALSE,"neighbors, patch-ahead, turtles-here, patches","Fire, Life, Sandpile, Altruism",,,,,,,,,,,,,,,,
nobody,A special value that helps checking if an agent exists or not.,"none, empty, dead, exist, nothing",FALSE,FALSE,FALSE,FALSE,TRUE,"any?, member?, n-of, let","Tumor, Heatbugs, Shepherds, HIV",,,,,,,,,,,,,,,,
of,Reports the value of an agent-owned variable.,"variable, characteristic, property, feature",FALSE,FALSE,FALSE,FALSE,TRUE,"with, to-report, turtles-own, patches-own","Urban Suite - Recycling, Paths, Slime, Language Change",,,,,,,,,,,,,,,,
one-of,Reports one randomly picked member from a provided agentset or list.,"pick, select, draw, lottery ",FALSE,FALSE,FALSE,FALSE,TRUE,"n-of, random, max-n-of, let","Mammoths, Ants, Shepherds, Fairy Circles",,,,,,,,,,,,,,,,
or,Checks if either of two provided conditions is true.,"either, boolean, true, false, condition, compare",FALSE,FALSE,FALSE,FALSE,TRUE,"if, if-else, and, of","Lennard-Jones, GasLab Atmosphere, Bidding Market, Wealth Distribution",,,,,,,,,,,,,,,,
other,Reports an agentset which is the same as the input agentset but omits the agent that used this primitive.,"omit, exclude",FALSE,TRUE,FALSE,FALSE,FALSE,"any?, turtles-here, in-radius, patches","Virus, Flocking, Scatter, Fruit Wars",,,,,,,,,,,,,,,,
patch,"Reports a specific patch at the provided (x,y) conditions.","square, background, world",TRUE,FALSE,FALSE,FALSE,FALSE,"patches, clear-patches, patches-own, neighbors","Ant Lines, Autumn, SmoothLife, Rumor Mill",,,,,,,,,,,,,,,,
patch-ahead,Reports the single patch that is the given distance “ahead” of this turtle,"before, see, detect, lead, onward",FALSE,TRUE,FALSE,FALSE,FALSE,"neighbors, in-radius, in-cone, nobody","Mammoths, Slime, Climate Change, Traffic Intersection",,,,,,,,,,,,,,,,
patches,Reports an agentset that contains all the patches in a model.,"square, background, world",TRUE,FALSE,FALSE,FALSE,FALSE," clear-patches, patches-own, neighbors, move-to","Peppered Moths, Blood Sugar Regulation, Honeycomb",,,,,,,,,,,,,,,,
patches-own,Defines custom characteristics (variables) for patches. Each custom characteristic can have a different value for each patch.,"patches, variable, declare",TRUE,FALSE,FALSE,FALSE,FALSE,"turtles-own, set, of, with","Diffusion Graphics, Grand Canyon, Life, Hoteling's Law",,,,,,,,,,,,,,,,
pcolor,Reports a patch's color and changes a patch's color when used with the set primitive.,"patch, square, world, background, paint",FALSE,TRUE,TRUE,FALSE,FALSE,"color, set, patches, neighbors","Vision Evolution, Rock Paper Scissors, Wolf Sheep Predation",,,,,,,,,,,,,,,,
pen-down,Starts tracing the movement of the turtle on patches.,"trace, draw, mark, paint, engrave, sketch",FALSE,TRUE,FALSE,FALSE,FALSE,"pen-up, clear-all, forward, right","Turtles Circling, Bidding Market, GasLab Single Collision, Pendulum",,,,,,,,,,,,,,,,
pen-up,Stops tracing a turtle's movement.,"trace, draw, mark, paint, engrave, sketch",FALSE,TRUE,FALSE,FALSE,FALSE,"pen-down, clear-all, forward, right","Turtles Circling, Bidding Market, GasLab Single Collision, Pendulum",,,,,,,,,,,,,,,,
random,Reports a random whole number between 0 and a specified number.,"probability, chance, lottery, luck, toss, pick",FALSE,FALSE,FALSE,FALSE,TRUE,"random-float, random-normal, globals, turtles-own","Sunflower Biomorphs, Mammoths, Autumn, Fairy Circles",,,,,,,,,,,,,,,,
random-float,Reports a random number with decimal points between 0 and a specified number.,"decimal, floating, probability, chance, lottery, luck, toss, pick",FALSE,FALSE,FALSE,FALSE,TRUE,"random, random-normal, globals, turtles-own","Fire, Climate Change, Galton Box, Daisyworld",,,,,,,,,,,,,,,,
random-normal,Reports a random number with decimal points that is picked from over a normal distribution with a specified mean and standard deviation.,"distribution, bell, curve, chance, probability, lottery, luck, toss, pick",FALSE,FALSE,FALSE,FALSE,TRUE,"random, random-float, mean, set","Anisogamy, Autumn, Epidem Basic, Echo",,,,,,,,,,,,,,,,
repeat,Performs a provided set of rules (commands) repeatedly for a specified number of times.,"repetition, again, multiple, loop, for, execute",FALSE,FALSE,FALSE,FALSE,TRUE,"ask, to, end, while","Disease Solo, Flocking Vee Formations, Peppered Moths, Ant Lines",,,,,,,,,,,,,,,,
reset-ticks,Sets the tick counter to 0.,"counter, time, restart, clock, watch",TRUE,FALSE,FALSE,FALSE,FALSE,"tick, to, ask, clear-all","Wolf Sheep Predation, Fire, Autumn, Climate Change",,,,,,,,,,,,,,,,
right,Changes a turtle's heading a certain amount of degrees to the right.,"turn, spin, rotate, angle, direction, orientation",FALSE,TRUE,FALSE,FALSE,FALSE,"left, heading, towards, face","Wolf Sheep Simple, Mammoths, Anisogamy, DLA Simple",,,,,,,,,,,,,,,,
round,Reports the integer that is nearest to a specified value.,"decimal, floating, near, approximate, roughly",FALSE,FALSE,FALSE,FALSE,TRUE,"count, floor, ceiling, mean","Sex Ratio Equilibrium, Bug Hunt Camouflage, GenDrift T Interact, Blood Sugar Regulation",,,,,,,,,,,,,,,,
scale-color,Reports a shade of a base hue (color) based on where a speficied value falls is within a specified range (min-max).,"shade, legend, tint, paint, tone, saturation, gradient",FALSE,FALSE,FALSE,FALSE,TRUE,"color, pcolor, set, turtles-own","Moths, Ants, Honeycomb, Autumn",,,,,,,,,,,,,,,,
semicolon,Starts a comments to take notes on a line of code. Anything that follows a semicolon (;) will not be considered code.,"comment, note",FALSE,FALSE,FALSE,FALSE,TRUE,"to, to-report, end, ask","Moths, Ants, Honeycomb, Autumn",,,,,,,,,,,,,,,,
set,"Changes the value of a variable (global, local, or agent-owned).","variable, value, change, modify, alter",FALSE,FALSE,FALSE,FALSE,TRUE,"let, globals, turtles-own, patches-own","Wolf Sheep Predation, Fire, Autumn, Climate Change",,,,,,,,,,,,,,,,
setxy,Moves a turtle to the exact location defined by the provided x and y coordinates.,"position, coordinate, location, move, jump, transport",FALSE,TRUE,FALSE,FALSE,FALSE,"move-to, min-pxcor, max-pycor, neighbors","Vision Evolution, Tumor, Virus, Flocking",,,,,,,,,,,,,,,,
shape,Reports a turtles or link's shape and changes a turtle's or link's shape when used with the set primitive.,"look, design, style, outline, image, bitmap, vector, picture, icon, appearance, figure, photo",FALSE,TRUE,FALSE,TRUE,FALSE,"color, turtles, set, of","Urban Suite - Pollution, Traffic Intersection, Mimicry, Ant Lines",,,,,,,,,,,,,,,,
sort-by,Reports a sorted version of a provided list based on a user-defined comparison.,"list, array, order, arrange, sift, cull, assort",FALSE,FALSE,FALSE,FALSE,TRUE,"sort-on, count, mean, ask","Hoteling's Law, GasLab Circular Particles, CRISPR Bacterium, Ask Ordering Example",,,,,,,,,,,,,,,,
sort-on,Reports a sorted version of a provided agentset based on a user-defined comparison.,"list, array, order, arrange, sift, cull, assort",FALSE,FALSE,FALSE,FALSE,TRUE,"sort-by, count, mean, ask","Birthdays, Dice, DNA Protein Synthesis, Rnd Example",,,,,,,,,,,,,,,,
sprout,Creates new turtles at the center of a patch.,"create, birth, new, turtle, grow, germinate, spring, vegetate, root",FALSE,FALSE,TRUE,FALSE,FALSE,"hatch, create-turtles, die, ask","Daisyworld, Ant Lines, Heatbugs, Fairy Circles",,,,,,,,,,,,,,,,
tick,Advances the tick counter by 1.,"time, counter, clock, watch",TRUE,FALSE,FALSE,FALSE,FALSE,"reset-ticks, ask, to, clear-all","Flocking, BeeSmart Hive Finding, Slime, Shepherds",,,,,,,,,,,,,,,,
tie,Turns a link between two turtles into a rigid connection so that the movement of one turtle impacts the movement of the other.,"link, connection, attachment, lock, hook, anchor",FALSE,FALSE,FALSE,TRUE,FALSE,"links, create-links-with, link-neighbors, layout-circle","Vision Evolution, DNA Replication Fork, Bug Hunt Environmental Changes, Connected Chemistry 8 Gas Particle Sandbox",,,,,,,,,,,,,,,,
to,used to begin a command procedure,"to, begin, command",TRUE,FALSE,FALSE,FALSE,TRUE,"to-report, end, ask, create-turtles","Wolf Sheep Predation, Fire, Ants, Segregation",,,,,,,,,,,,,,,,
to-report,Begin a procedure to create a custom reporter.,"procedure, function, return, calculate, transform, input, output",FALSE,FALSE,FALSE,FALSE,TRUE,"to, end, ask, if","Mimicry, Moths, Rock Paper Scissors, HIV",,,,,,,,,,,,,,,,
towards,Reports the angle of the caller towards an agent.,"turn, angle, face, direction, twist, spin",FALSE,TRUE,FALSE,FALSE,FALSE,"face, right, left, heading","Chaos in a Box, Bug Hunt Coevolution, GenEvo 1 Genetic Switch, Traffic 2 Lanes",,,,,,,,,,,,,,,,
turtle,Reports a specific turtle that has the provided who number.,"shape, triangle, mobile, agent, tortoise, animal, person, people, object, thing",TRUE,FALSE,FALSE,FALSE,FALSE,"ask, turtles-own, patches, links","Wolf Sheep Predation, Virus, Tumor, Bug Hunt Camouflage",,,,,,,,,,,,,,,,
turtles,Reports an agentset that contains all the turtles in a model.,"shape, triangle, mobile, agent, tortoise, animal, person, people, object, thing",TRUE,FALSE,FALSE,FALSE,FALSE,"ask, turtles-own, patches, links","Disease Solo, Flocking Vee Formations, Peppered Moths, Ant Lines",,,,,,,,,,,,,,,,
turtles-here,Reports the agentset of all the turtles on a caller's patch.,"touch, contact, near, communicate, rub, tangent, tap, collide, notice, recognize, sense",FALSE,TRUE,TRUE,FALSE,FALSE,"neighbors, patches, other, in-radius","El Farol, Party, Segregation, Chemical Equilibrium",,,,,,,,,,,,,,,,
turtles-own,Declare a variable that belongs to turtles.,"variable, declare, characteristic, property, attribute, trait, quality, phenotype",TRUE,FALSE,FALSE,FALSE,FALSE,"set, globals, patches-own, with, of","Disease Solo, Flocking Vee Formations, Tumor, Wolf Sheep Predation",,,,,,,,,,,,,,,,
while,Begins a loop that runs as long as the reporter returns true. ,loop,TRUE,FALSE,FALSE,FALSE,FALSE,"if, if-else, repeat, tick","Moths, Traffic Basic, Shepherds",,,,,,,,,,,,,,,,
with,Reports a subset of the original agentset that only contains the agents with specified characteristics.,"specific, agentset, query, narrow, subset, reduce, fragment, select",TRUE,TRUE,TRUE,TRUE,FALSE,"if, of, turtles-own, patches-own","Fur, Mimicry, Ants, Heatbugs",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
